name,variable name,epoch timestamp,vcc,vbatt,charge state
Greenville Camera v5 sn191 (took pic),s.bs,1710136319,3.25,3.305,0
Greenville Camera v5 sn191 (took pic),s.bs,1710135934,3.316,3.3,0
Greenville Camera v5 sn191 (took pic),s.bs,1710135817,3.269,3.312,0
Greenville Camera v5 sn191 (took pic),s.bs,1710135610,3.292,3.304,0
Greenville Camera v5 sn191 (took pic),s.bs,1710135192,3.269,3.314,0
Greenville Camera v5 sn191 (took pic),s.bs,1710134841,3.292,3.312,0
Greenville Camera v5 sn191 (took pic),s.bs,1710134539,3.335,3.311,0
Greenville Camera v5 sn191 (took pic),s.bs,1710134136,3.269,3.314,0
Greenville Camera v5 sn191 (took pic),s.bs,1710133594,3.25,3.306,0
Greenville Camera v5 sn191 (took pic),s.bs,1710133309,3.292,3.314,0
Greenville Camera v5 sn191 (took pic),s.bs,1710133026,3.292,3.314,0
Greenville Camera v5 sn191 (took pic),s.bs,1710132851,3.316,3.315,0
Greenville Camera v5 sn191 (took pic),s.bs,1710132527,3.269,3.309,0
Greenville Camera v5 sn191 (took pic),s.bs,1710132218,3.269,3.316,0
Greenville Camera v5 sn191 (took pic),s.bs,1710131908,3.316,3.314,0
Greenville Camera v5 sn191 (took pic),s.bs,1710131558,3.316,3.308,0
Greenville Camera v5 sn191 (took pic),s.bs,1710131263,3.269,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710131080,3.269,3.315,0
Greenville Camera v5 sn191 (took pic),s.bs,1710130801,3.316,3.305,0
Greenville Camera v5 sn191 (took pic),s.bs,1710130519,3.269,3.316,0
Greenville Camera v5 sn191 (took pic),s.bs,1710130157,3.269,3.311,0
Greenville Camera v5 sn191 (took pic),s.bs,1710129839,3.269,3.316,0
Greenville Camera v5 sn191 (took pic),s.bs,1710129405,3.316,3.315,0
Greenville Camera v5 sn191 (took pic),s.bs,1710129059,3.335,3.312,0
Greenville Camera v5 sn191 (took pic),s.bs,1710128957,3.292,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710128623,3.316,3.315,0
Greenville Camera v5 sn191 (took pic),s.bs,1710128399,3.335,3.314,0
Greenville Camera v5 sn191 (took pic),s.bs,1710127860,3.269,3.315,0
Greenville Camera v5 sn191 (took pic),s.bs,1710127601,3.316,3.314,0
Greenville Camera v5 sn191 (took pic),s.bs,1710127267,3.335,3.314,0
Greenville Camera v5 sn191 (took pic),s.bs,1710127040,3.292,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710126802,3.292,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710126497,3.292,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710126097,3.25,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710125806,3.292,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710125570,3.335,3.312,0
Greenville Camera v5 sn191 (took pic),s.bs,1710125313,3.316,3.311,0
Greenville Camera v5 sn191 (took pic),s.bs,1710124945,3.292,3.315,0
Greenville Camera v5 sn191 (took pic),s.bs,1710124743,3.269,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710124225,3.316,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710123946,3.269,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710123841,3.335,3.314,0
Greenville Camera v5 sn191 (took pic),s.bs,1710123523,3.269,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710123309,3.269,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710122875,3.269,3.317,0
Greenville Camera v5 sn191 (took pic),s.bs,1710122462,3.292,3.314,0
Greenville Camera v5 sn191 (took pic),s.bs,1710122168,3.316,3.307,0
Greenville Camera v5 sn191 (took pic),s.bs,1710121896,3.269,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710121756,3.316,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710121282,3.25,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710120991,3.269,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710120678,3.335,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710120563,3.316,3.316,0
Greenville Camera v5 sn191 (took pic),s.bs,1710120168,3.316,3.316,0
Greenville Camera v5 sn191 (took pic),s.bs,1710119987,3.316,3.311,0
Greenville Camera v5 sn191 (took pic),s.bs,1710119645,3.292,3.312,0
Greenville Camera v5 sn191 (took pic),s.bs,1710119360,3.25,3.312,0
Greenville Camera v5 sn191 (took pic),s.bs,1710118869,3.335,3.315,0
Greenville Camera v5 sn191 (took pic),s.bs,1710118542,3.316,3.32,0
Greenville Camera v5 sn191 (took pic),s.bs,1710118276,3.292,3.309,0
Greenville Camera v5 sn191 (took pic),s.bs,1710117923,3.25,3.314,0
Greenville Camera v5 sn191 (took pic),s.bs,1710117637,3.316,3.314,0
Greenville Camera v5 sn191 (took pic),s.bs,1710117465,3.292,3.309,0
Greenville Camera v5 sn191 (took pic),s.bs,1710117282,3.316,3.32,0
Greenville Camera v5 sn191 (took pic),s.bs,1710116798,3.269,3.323,0
Greenville Camera v5 sn191 (took pic),s.bs,1710116606,3.316,3.322,0
Greenville Camera v5 sn191 (took pic),s.bs,1710116152,3.269,3.325,0
Greenville Camera v5 sn191 (took pic),s.bs,1710116067,3.316,3.315,0
Greenville Camera v5 sn191 (took pic),s.bs,1710115265,3.316,3.318,0
Greenville Camera v5 sn191 (took pic),s.bs,1710114997,3.292,3.325,0
Greenville Camera v5 sn191 (took pic),s.bs,1710114812,3.335,3.319,0
Greenville Camera v5 sn191 (took pic),s.bs,1710114529,3.292,3.335,1
Greenville Camera v5 sn191 (took pic),s.bs,1710114096,3.292,3.339,0
Greenville Camera v5 sn191 (took pic),s.bs,1710113858,3.269,3.342,0
Greenville Camera v5 sn191 (took pic),s.bs,1710113581,3.316,3.341,0
Greenville Camera v5 sn191 (took pic),s.bs,1710113402,3.269,3.343,0
Greenville Camera v5 sn191 (took pic),s.bs,1710112857,3.269,3.349,0
Greenville Camera v5 sn191 (took pic),s.bs,1710112537,3.269,3.353,0
Greenville Camera v5 sn191 (took pic),s.bs,1710112235,3.269,3.357,0
Greenville Camera v5 sn191 (took pic),s.bs,1710112017,3.316,3.36,0
Greenville Camera v5 sn191 (took pic),s.bs,1710111815,3.292,3.364,0
Greenville Camera v5 sn191 (took pic),s.bs,1710111548,3.292,3.358,0
Greenville Camera v5 sn191 (took pic),s.bs,1710111240,3.316,3.36,0
Greenville Camera v5 sn191 (took pic),s.bs,1710110791,3.269,3.383,0
Greenville Camera v5 sn191 (took pic),s.bs,1710110658,3.269,3.385,0
Greenville Camera v5 sn191 (took pic),s.bs,1710110173,3.269,3.387,0
Greenville Camera v5 sn191 (took pic),s.bs,1710110116,3.292,3.399,0
Greenville Camera v5 sn191 (took pic),s.bs,1710109594,3.316,3.399,0
Greenville Camera v5 sn191 (took pic),s.bs,1710109298,3.335,3.421,0
Greenville Camera v5 sn191 (took pic),s.bs,1710109064,3.316,3.429,0
Greenville Camera v5 sn191 (took pic),s.bs,1710108761,3.335,3.437,0
Greenville Camera v5 sn191 (took pic),s.bs,1710108496,3.316,3.453,0
